Name of State/ UT,Charging Stations,Sanctioned to States/ UTs ,Total
Telangana,56,138,194
Jharkhand,29,,29
Goa,26,,26
Karnataka,48,172,220
Himachal Pradesh,9,10,19
Uttar Pradesh,15,207,222
Rajasthan,49,205,254
Delhi,94,72,166
Chandigarh UT,48,70,118
Maharashtra,,317,317
Andhra Pradesh,,266,266
Tamil Nadu,,281,281
Gujarat,,278,278
Madhya Pradesh,,235,235
West Bengal,,141,141
Kerala,,211,211
Chandigarh,,70,70
Haryana,,50,50
Meghalaya,,40,40
Bihar,,37,37
Sikkim,,29,29
Jammu & Kashmir,,25,25
Chhattisgarh,,25,25
Assam,,20,20
Odisha,,18,18
Uttarakhand,,10,10
Puducherry,,10,10
Andaman and Nicobar(Port Blair),,10,10
Delhi-Jaipur- Agra Highway,29,,29
Mumbai-Pune Expressway,16,,16
Jaipur- Delhi Highway,9,,9
Delhi- Chandigarh Highway,24,,24
